date,regulation,source,ingested_at,pokemon_name,ability_name,usage_raw
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gastrodon,stickyhold,0.005995353297298167
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Iron Boulder,quarkdrive,30.977833880833586
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Bronzong,levitate,30.32603158399192
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Bronzong,heavymetal,0.001200790234006932
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Bronzong,heatproof,0.04622755887371549
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Pikachu,lightningrod,27.597613306160607
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Pikachu,static,0.6480107047629367
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Oranguru,symbiosis,1.8006202160434388
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Oranguru,telepathy,2.8500874777255083
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Oranguru,innerfocus,21.75741289923079
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gyarados,intimidate,25.395714486345323
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Gyarados,moxie,0.17853893111914554
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Zapdos,static,25.10290750159869
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Zapdos,pressure,0.22053722855823432
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Latias,levitate,25.102376301904602
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Thundurus-Therian,voltabsorb,23.879756090771163
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Fezandipiti,toxicchain,23.990727792918694
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Fezandipiti,technician,0.10488287176179956
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Sylveon,pixilate,23.254964531809843
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Sylveon,cutecharm,0.0005577091925115241
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Brute Bonnet,protosynthesis,22.952319296084564
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Articuno-Galar,competitive,22.98569209746717
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Tsareena,queenlymajesty,17.473886179596366
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Tsareena,leafguard,0.16061550470993752
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Tsareena,sweetveil,4.807810104627385
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Iron Treads,quarkdrive,21.994250870981823
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Enamorus-Therian,overcoat,21.21652470170408
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Wo-Chien,tabletsofruin,20.527208627186408
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Regieleki,transistor,19.42290931622993
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Typhlosion-Hisui,frisk,12.503769262490367
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Typhlosion-Hisui,blaze,7.706627887985205
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Great Tusk,protosynthesis,18.910285526334885
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Cobalion,justified,17.879729863814106
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Indeedee,psychicsurge,18.923358586649115
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Indeedee,innerfocus,0.4552341556930156
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Indeedee,synchronize,1.5184714302063362e-06
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Garchomp,roughskin,11.181473303280073
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Garchomp,sandveil,6.4950173254524195
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Garganacl,purifyingsalt,16.233590363503207
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Garganacl,sturdy,0.35897256525202004
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Garganacl,clearbody,0.07827603034966174
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Araquanid,waterabsorb,0.060575255553690865
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Araquanid,waterbubble,16.138401865189927
2026-02,Reg F,smogon_chaos,2026-03-18T19:07:46.741955,Munkidori,toxicchain,15.306383208805606
